Alt_km,Temp_K,pressure_pa,density_kgpm3,speedOfSound_mps,viscosity_pas
0,288.15,101320,1.225,340.29,1.7894E-05
5,255.676,54048,0.73643,320.55,1.6282E-05
10,223.252,26500,0.41351,299.53,1.4577E-05
15,216.65,12112,0.19476,295.07,1.4216E-05
20,216.65,5529.3,0.08891,295.07,1.4216E-05
25,221.552,2549.2,0.040084,298.39,1.4484E-05
30,226.509,1197,0.01841,301.71,1.4753E-05
35,236.513,574.59,0.0084634,308.3,1.5287E-05
40,250.35,287.14,0.0039957,317.19,1.6009E-05
45,264.164,149.1,0.0019663,325.82,1.6713E-05
50,270.65,79.779,0.0010269,329.8,1.7037E-05
55,260.771,42.525,0.0005681,323.72,1.6541E-05
60,247.021,21.959,0.00030968,315.07,1.5837E-05
65,233.292,10.93,0.00016321,306.19,1.5116E-05
70,219.585,5.2209,8.2829E-05,297.06,1.4377E-05
75,208.399,2.3881,3.9921E-05,289.4,1.3759E-05
80,198.639,1.0525,1.8458E-05,282.54,1.3208E-05
85,188.893,0.44568,8.2195E-06,275.52,1.2647E-05
90,186.867,0.18435,3.44E-06,274.04,1.2529E-05
95,188.418,0.075775,1.3873E-06,275.17,1.2619E-05
100,195.081,0.032012,5.6044E-07,280,1.3005E-05
105,208.835,0.014423,2.3325E-07,289.7,1.3783E-05
110,240,0.0071493,9.6734E-08,310.56,1.5471E-05
115,300,0.0040037,4.2794E-08,347.22,1.846E-05
120,360,0.0025366,2.2199E-08,380.36,2.1171E-05
125,417.231,0.001736,1.2918E-08,409.48,2.355E-05
130,469.268,0.0012503,8.1494E-09,434.27,2.5569E-05
135,516.589,0.00093569,5.4647E-09,455.64,2.7303E-05
140,559.627,0.00072029,3.8313E-09,474.24,2.8808E-05
145,598.776,0.0005669,2.7805E-09,490.54,3.0123E-05
150,634.392,0.00045422,2.0752E-09,504.92,3.1279E-05
155,666.799,0.00036929,1.5848E-09,517.66,3.2301E-05
160,696.29,0.00030394,1.2336E-09,528.98,3.3208E-05
165,723.132,0.00025277,9.7526E-10,539.08,3.4014E-05
170,747.566,0.0002121,7.8155E-10,548.11,3.4735E-05
175,769.811,0.00017936,6.3382E-10,556.21,3.5379E-05
180,790.066,0.00015272,5.194E-10,563.48,3.5957E-05
185,808.511,0.00013081,4.2952E-10,570.02,3.6476E-05
190,825.312,0.00011265,3.5807E-10,575.91,3.6944E-05
195,840.616,9.7489E-05,3.0064E-10,581.22,3.7365E-05
200,854.559,8.4736E-05,2.5407E-10,586.02,3.7745E-05
205,867.264,7.3943E-05,2.1596E-10,590.36,3.8089E-05
210,878.842,6.4757E-05,1.8456E-10,594.29,3.8399E-05
215,889.395,5.6902E-05,1.5849E-10,597.85,3.868E-05
220,899.014,5.015E-05,1.3671E-10,601.07,3.8935E-05
225,907.785,4.4321E-05,1.1839E-10,604,3.9166E-05
230,915.782,3.927E-05,1.029E-10,606.65,3.9375E-05
235,923.075,3.4879E-05,8.9757E-11,609.06,3.9565E-05
240,929.726,3.1051E-05,7.855E-11,611.26,3.9738E-05
245,935.794,2.7701E-05,6.8954E-11,613.25,3.9895E-05
250,941.33,2.4762E-05,6.0706E-11,615.06,4.0037E-05
255,946.381,2.2176E-05,5.3587E-11,616.71,4.0167E-05
260,950.991,1.9894E-05,4.742E-11,618.21,4.0285E-05
265,955.198,1.7875E-05,4.2058E-11,619.57,4.0393E-05
270,959.039,1.6084E-05,3.7382E-11,620.82,4.0491E-05
275,962.545,1.4494E-05,3.3294E-11,621.95,4.058E-05
280,965.746,1.3078E-05,2.971E-11,622.98,4.0661E-05
285,968.67,1.1815E-05,2.656E-11,623.93,4.0735E-05
290,971.34,1.0686E-05,2.3783E-11,624.79,4.0803E-05
295,973.779,9.676E-06,2.1331E-11,625.57,4.0865E-05
300,976.008,8.7704E-06,1.9159E-11,626.28,4.0921E-05
305,978.044,7.9571E-06,1.7232E-11,626.94,4.0972E-05
310,979.904,7.2259E-06,1.5519E-11,627.53,4.1019E-05
315,981.605,6.5678E-06,1.3994E-11,628.08,4.1062E-05
320,983.159,5.9748E-06,1.2634E-11,628.57,4.1101E-05
325,984.58,5.44E-06,1.1419E-11,629.03,4.1137E-05
330,985.88,4.9571E-06,1.0333E-11,629.44,4.1169E-05
335,987.068,4.5208E-06,9.3607E-12,629.82,4.1199E-05
340,988.154,4.126E-06,8.4886E-12,630.17,4.1226E-05
345,989.148,3.7686E-06,7.7054E-12,630.49,4.1251E-05
350,990.057,3.4446E-06,7.0011E-12,630.78,4.1274E-05
355,990.889,3.1507E-06,6.367E-12,631.04,4.1295E-05
360,991.65,2.8839E-06,5.7954E-12,631.28,4.1314E-05
365,992.347,2.6414E-06,5.2795E-12,631.5,4.1331E-05
370,992.984,2.4208E-06,4.8132E-12,631.71,4.1347E-05
375,993.568,2.22E-06,4.3914E-12,631.89,4.1362E-05
380,994.102,2.037E-06,4.0093E-12,632.06,4.1375E-05
385,994.591,1.8702E-06,3.6629E-12,632.22,4.1387E-05
390,995.039,1.7179E-06,3.3484E-12,632.36,4.1398E-05
395,995.45,1.5789E-06,3.0627E-12,632.49,4.1409E-05
400,995.825,1.4518E-06,2.8028E-12,632.61,4.1418E-05
405,996.17,1.3356E-06,2.5662E-12,632.72,4.1427E-05
410,996.485,1.2292E-06,2.3507E-12,632.82,4.1434E-05
415,996.774,1.1319E-06,2.1543E-12,632.91,4.1442E-05
420,997.039,1.0428E-06,1.9752E-12,633,4.1448E-05
425,997.282,9.6119E-07,1.8118E-12,633.07,4.1454E-05
430,997.505,8.8642E-07,1.6626E-12,633.14,4.146E-05
435,997.709,8.1789E-07,1.5265E-12,633.21,4.1465E-05
440,997.896,7.5505E-07,1.402E-12,633.27,4.147E-05
445,998.067,6.9741E-07,1.2883E-12,633.32,4.1474E-05
450,998.225,6.4452E-07,1.1843E-12,633.37,4.1478E-05
455,998.369,5.9597E-07,1.0891E-12,633.42,4.1481E-05
460,998.502,5.5139E-07,1.002E-12,633.46,4.1485E-05
465,998.623,5.1043E-07,9.2222E-13,633.5,4.1488E-05
470,998.735,4.7279E-07,8.4913E-13,633.53,4.149E-05
475,998.837,4.3818E-07,7.8214E-13,633.57,4.1493E-05
480,998.931,4.0634E-07,7.207E-13,633.6,4.1495E-05
485,999.017,3.7705E-07,6.6434E-13,633.62,4.1498E-05
490,999.096,3.5008E-07,6.1261E-13,633.65,4.1499E-05
495,999.169,3.2524E-07,5.6511E-13,633.67,4.1501E-05
500,999.236,3.0235E-07,5.2148E-13,633.69,4.1503E-05
505,999.297,2.8126E-07,4.8139E-13,633.71,4.1504E-05
510,999.353,2.618E-07,4.4454E-13,633.73,4.1506E-05
515,999.405,2.4386E-07,4.1065E-13,633.75,4.1507E-05
520,999.452,2.273E-07,3.7949E-13,633.76,4.1508E-05
525,999.496,2.1202E-07,3.5083E-13,633.78,4.1509E-05
530,999.536,1.979E-07,3.2446E-13,633.79,4.151E-05
535,999.573,1.8486E-07,3.0019E-13,633.8,4.1511E-05
540,999.607,1.7281E-07,2.7785E-13,633.81,4.1512E-05
545,999.638,1.6168E-07,2.5727E-13,633.82,4.1513E-05
550,999.667,1.5137E-07,2.3832E-13,633.83,4.1514E-05
555,999.693,1.4184E-07,2.2086E-13,633.84,4.1514E-05
560,999.717,1.3302E-07,2.0477E-13,633.85,4.1515E-05
565,999.74,1.2485E-07,1.8993E-13,633.85,4.1516E-05
570,999.76,1.1728E-07,1.7625E-13,633.86,4.1516E-05
575,999.779,1.1027E-07,1.6363E-13,633.87,4.1516E-05
580,999.796,1.0377E-07,1.5199E-13,633.87,4.1517E-05
585,999.812,9.7739E-08,1.4124E-13,633.88,4.1517E-05
590,999.827,9.2145E-08,1.3131E-13,633.88,4.1518E-05
595,999.841,8.6952E-08,1.2214E-13,633.88,4.1518E-05
600,999.853,8.213E-08,1.1367E-13,633.89,4.1518E-05
605,999.864,7.765E-08,1.0584E-13,633.89,4.1519E-05
610,999.875,7.3486E-08,9.8597E-14,633.9,4.1519E-05
615,999.885,6.9612E-08,9.1903E-14,633.9,4.1519E-05
620,999.894,6.6005E-08,8.571E-14,633.9,4.1519E-05
625,999.902,6.2644E-08,7.9981E-14,633.9,4.152E-05
630,999.91,5.951E-08,7.4678E-14,633.91,4.152E-05
635,999.917,5.6585E-08,6.977E-14,633.91,4.152E-05
640,999.923,5.3855E-08,6.5225E-14,633.91,4.152E-05
645,999.929,5.1303E-08,6.1015E-14,633.91,4.152E-05
650,999.934,4.8917E-08,5.7114E-14,633.91,4.152E-05
655,999.939,4.6684E-08,5.3499E-14,633.92,4.152E-05
660,999.944,4.4594E-08,5.0147E-14,633.92,4.1521E-05
665,999.948,4.2635E-08,4.7038E-14,633.92,4.1521E-05
670,999.952,4.0799E-08,4.4154E-14,633.92,4.1521E-05
675,999.956,3.9076E-08,4.1478E-14,633.92,4.1521E-05
680,999.959,3.7459E-08,3.8993E-14,633.92,4.1521E-05
685,999.962,3.594E-08,3.6686E-14,633.92,4.1521E-05
690,999.965,3.4513E-08,3.4542E-14,633.92,4.1521E-05
695,999.968,3.3171E-08,3.255E-14,633.93,4.1521E-05
700,999.97,3.1908E-08,3.0698E-14,633.93,4.1521E-05
705,999.973,3.072E-08,2.8976E-14,633.93,4.1521E-05
710,999.975,2.96E-08,2.7374E-14,633.93,4.1521E-05
715,999.977,2.8543E-08,2.5882E-14,633.93,4.1521E-05
720,999.978,2.7546E-08,2.4491E-14,633.93,4.1521E-05
725,999.98,2.6605E-08,2.3196E-14,633.93,4.1521E-05
730,999.982,2.5714E-08,2.1987E-14,633.93,4.1522E-05
735,999.983,2.4871E-08,2.0858E-14,633.93,4.1522E-05
740,999.984,2.4072E-08,1.9805E-14,633.93,4.1522E-05
745,999.985,2.3314E-08,1.882E-14,633.93,4.1522E-05
750,999.986,2.2595E-08,1.79E-14,633.93,4.1522E-05
755,999.987,2.1912E-08,1.7039E-14,633.93,4.1522E-05
760,999.988,2.1263E-08,1.6233E-14,633.93,4.1522E-05
765,999.989,2.0644E-08,1.5478E-14,633.93,4.1522E-05
770,999.99,2.0055E-08,1.4771E-14,633.93,4.1522E-05
775,999.991,1.9493E-08,1.4108E-14,633.93,4.1522E-05
780,999.992,1.8957E-08,1.3487E-14,633.93,4.1522E-05
785,999.992,1.8445E-08,1.2903E-14,633.93,4.1522E-05
790,999.993,1.7955E-08,1.2356E-14,633.93,4.1522E-05
795,999.993,1.7485E-08,1.1841E-14,633.93,4.1522E-05
800,999.994,1.7036E-08,1.1358E-14,633.93,4.1522E-05
805,999.994,1.6604E-08,1.0904E-14,633.93,4.1522E-05
810,999.995,1.619E-08,1.0477E-14,633.93,4.1522E-05
815,999.995,1.5793E-08,1.0074E-14,633.93,4.1522E-05
820,999.995,1.5411E-08,9.6947E-15,633.93,4.1522E-05
825,999.996,1.5044E-08,9.337E-15,633.93,4.1522E-05
830,999.996,1.469E-08,8.9992E-15,633.93,4.1522E-05
835,999.996,1.435E-08,8.6801E-15,633.93,4.1522E-05
840,999.997,1.4023E-08,8.3783E-15,633.93,4.1522E-05
845,999.997,1.3707E-08,8.0928E-15,633.93,4.1522E-05
850,999.997,1.3403E-08,7.8223E-15,633.93,4.1522E-05
855,999.997,1.311E-08,7.5659E-15,633.93,4.1522E-05
860,999.997,1.2827E-08,7.3227E-15,633.93,4.1522E-05
865,999.998,1.2553E-08,7.0917E-15,633.93,4.1522E-05
870,999.998,1.2289E-08,6.8723E-15,633.93,4.1522E-05
875,999.998,1.2033E-08,6.6635E-15,633.93,4.1522E-05
880,999.998,1.1786E-08,6.4649E-15,633.93,4.1522E-05
885,999.998,1.1547E-08,6.2757E-15,633.93,4.1522E-05
890,999.998,1.1315E-08,6.0952E-15,633.93,4.1522E-05
895,999.999,1.1091E-08,5.9231E-15,633.93,4.1522E-05
900,999.999,1.0873E-08,5.7587E-15,633.93,4.1522E-05
905,999.999,1.0662E-08,5.6016E-15,633.93,4.1522E-05
910,999.999,1.0457E-08,5.4514E-15,633.93,4.1522E-05
915,999.999,1.0258E-08,5.3075E-15,633.94,4.1522E-05
920,999.999,1.0064E-08,5.1698E-15,633.94,4.1522E-05
925,999.999,9.8752E-09,5.0377E-15,633.94,4.1522E-05
930,999.999,9.6915E-09,4.9111E-15,633.94,4.1522E-05
935,999.999,9.5126E-09,4.7895E-15,633.94,4.1522E-05
940,999.999,9.338E-09,4.6728E-15,633.94,4.1522E-05
945,999.999,9.1677E-09,4.5605E-15,633.94,4.1522E-05
950,999.999,9.0013E-09,4.4525E-15,633.94,4.1522E-05
955,999.999,8.8387E-09,4.3486E-15,633.94,4.1522E-05
960,999.999,8.6796E-09,4.2484E-15,633.94,4.1522E-05
965,999.999,8.5239E-09,4.1519E-15,633.94,4.1522E-05
970,1000,8.3713E-09,4.0587E-15,633.94,4.1522E-05
975,1000,8.2218E-09,3.9687E-15,633.94,4.1522E-05
980,1000,8.0751E-09,3.8818E-15,633.94,4.1522E-05
985,1000,7.9311E-09,3.7977E-15,633.94,4.1522E-05
990,1000,7.7896E-09,3.7163E-15,633.94,4.1522E-05
995,1000,7.6505E-09,3.6375E-15,633.94,4.1522E-05
1000,1000,7.5138E-09,3.5611E-15,633.94,4.1522E-05
